S.No.,Organisation Name,Portal Tender Count,Copied Tender Count,Count Status,Tender ID,Title,Reference Number,Published Date,Closing Date,Opening Date,Tender URL,Raw Row
1,Atal Indore City Transport Services Ltd - Indore,7,7,MATCH,2026_AICTS_531642_1,Indore Mandav Route,AICTSL/2026/MPE-Tender/NIT NO. 113,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,29-Sep-2026 05:30 PM,,1 24-Aug-2026 09:00 AM 28-Sep-2026 05:30 PM 29-Sep-2026 05:30 PM [Indore Mandav Route ] [AICTSL/2026/MPE-Tender/NIT NO. 113][2026_AICTS_531642_1] Atal Indore City Transport Services Ltd - Indore
2,Atal Indore City Transport Services Ltd - Indore,7,7,MATCH,2026_AICTS_531643_1,Indore To Khargone,AICTSL/2026/MPE-Tender/NIT NO. 114,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,29-Sep-2026 05:30 PM,,2 24-Aug-2026 09:00 AM 28-Sep-2026 05:30 PM 29-Sep-2026 05:30 PM [ Indore To Khargone] [AICTSL/2026/MPE-Tender/NIT NO. 114][2026_AICTS_531643_1] Atal Indore City Transport Services Ltd - Indore
3,Atal Indore City Transport Services Ltd - Indore,7,7,MATCH,2026_AICTS_531645_1,Indore-Khandwa Route,AICTSL/2026/MPE-Tender/NIT NO. 115,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,29-Sep-2026 05:30 PM,,3 24-Aug-2026 09:00 AM 28-Sep-2026 05:30 PM 29-Sep-2026 05:30 PM [Indore-Khandwa Route] [AICTSL/2026/MPE-Tender/NIT NO. 115][2026_AICTS_531645_1] Atal Indore City Transport Services Ltd - Indore
4,Atal Indore City Transport Services Ltd - Indore,7,7,MATCH,2026_AICTS_531648_1,Indore Sendhwa Route,AICTSL/2026/MPE-Tender/NIT NO. 118,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,29-Sep-2026 05:30 PM,,4 24-Aug-2026 09:00 AM 28-Sep-2026 05:30 PM 29-Sep-2026 05:30 PM [Indore Sendhwa Route ] [AICTSL/2026/MPE-Tender/NIT NO. 118][2026_AICTS_531648_1] Atal Indore City Transport Services Ltd - Indore
5,Atal Indore City Transport Services Ltd - Indore,7,7,MATCH,2026_AICTS_531647_1,Indore-Ujjain Route,AICTSL/2026/MPE-Tender/NIT NO. 117,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,29-Sep-2026 05:30 PM,,5 24-Aug-2026 09:00 AM 28-Sep-2026 05:30 PM 29-Sep-2026 05:30 PM [Indore-Ujjain Route] [AICTSL/2026/MPE-Tender/NIT NO. 117][2026_AICTS_531647_1] Atal Indore City Transport Services Ltd - Indore
6,Atal Indore City Transport Services Ltd - Indore,7,7,MATCH,2026_AICTS_531646_1,Indore Bhopal Route,AICTSL/2026/MPE-Tender/NIT NO. 116,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,29-Sep-2026 05:30 PM,,6 24-Aug-2026 09:00 AM 28-Sep-2026 05:30 PM 29-Sep-2026 05:30 PM [ Indore Bhopal Route] [AICTSL/2026/MPE-Tender/NIT NO. 116][2026_AICTS_531646_1] Atal Indore City Transport Services Ltd - Indore
7,Atal Indore City Transport Services Ltd - Indore,7,7,MATCH,2026_AICTS_530313_1,Construction of Bus Q Shelters,AICTSL/2026/MPE-Tender/NIT NO. 112,18-Aug-2026 11:00 AM,30-Sep-2026 05:30 PM,01-Oct-2026 05:30 PM,,7 18-Aug-2026 11:00 AM 30-Sep-2026 05:30 PM 01-Oct-2026 05:30 PM [Construction of Bus Q Shelters ] [AICTSL/2026/MPE-Tender/NIT NO. 112][2026_AICTS_530313_1] Atal Indore City Transport Services Ltd - Indore
8,Bhopal City Link Limited,16,16,MATCH,2026_BCLL_534099_1,Route B-25 Sukhisewniya to Bhojpur,B002,07-Sep-2026 09:00 AM,08-Oct-2026 05:00 PM,09-Oct-2026 05:00 PM,,1 07-Sep-2026 09:00 AM 08-Oct-2026 05:00 PM 09-Oct-2026 05:00 PM [Route B-25 Sukhisewniya to Bhojpur] [B002][2026_BCLL_534099_1] Bhopal City Link Limited
9,Bhopal City Link Limited,16,16,MATCH,2026_BCLL_534101_1,Route No B-31 (Sehore to Katara Bypass Tiraha),B004,07-Sep-2026 09:00 AM,08-Oct-2026 05:00 PM,09-Oct-2026 05:00 PM,,2 07-Sep-2026 09:00 AM 08-Oct-2026 05:00 PM 09-Oct-2026 05:00 PM [Route No B-31 (Sehore to Katara Bypass Tiraha) ] [B004][2026_BCLL_534101_1] Bhopal City Link Limited
10,Bhopal City Link Limited,16,16,MATCH,2026_BCLL_534102_1,RFP for Route No B-33 (Phanda to Mandideep),B005,07-Sep-2026 09:00 AM,08-Oct-2026 05:00 PM,09-Oct-2026 05:00 PM,,3 07-Sep-2026 09:00 AM 08-Oct-2026 05:00 PM 09-Oct-2026 05:00 PM [RFP for Route No B-33 (Phanda to Mandideep) ] [B005][2026_BCLL_534102_1] Bhopal City Link Limited
